study_hrs,study_hrs_group,study_stress,study_workload,study_eff_lect,study_eff_self,study_satis,leisure_hrs,leisure_sleep_hrs,leisure_sport_hrs,leisure_social_hrs,leisure_satis
14.0,4.0,8,7,6,8,7,6.0,7,6.0,8.0,8
21.0,15.0,6,6,5,9,8,15.0,7,10.0,10.0,8
40.0,7.0,5,5,5,5,7,14.0,56,14.0,14.0,5
10.0,5.0,8,8,8,8,8,5.0,6,3.0,8.0,8
28.0,12.0,5,5,6,6,6,12.0,6,7.0,12.0,7
10.0,5.0,4,5,6,10,10,15.0,8,2.0,20.0,6
2.0,2.0,2,2,2,2,2,1.0,8,16.0,12.940119760479043,5
21.0,3.0,5,7,8,8,10,10.0,8,6.0,24.0,5
56.0,10.0,6,3,8,5,9,21.0,6,7.0,5.0,4
2.0,1.0,1,2,7,5,10,50.0,6,1.0,2.0,10
35.0,6.0,7,8,5,9,9,21.0,8,0.0,30.0,8
18.0,0.0,6,5,6,4,3,20.0,8,4.0,12.0,8
2.0,0.0,5,2,5,7,1,2.0,7,4.0,6.0,5
9.0,9.0,6,6,6,6,6,2.0,6,1.0,3.0,6
25.0,25.0,10,10,10,10,10,25.0,25,25.0,25.0,10
30.0,0.0,6,5,7,10,6,40.0,6,2.0,26.0,6
20.0,4.0,5,5,8,8,6,10.0,7,10.0,15.0,10
60.0,12.0,9,9,6,8,7,10.0,6,2.0,5.0,6
50.0,21.0,5,5,5,6,5,20.0,6,20.0,10.0,5
21.0,42.0,5,7,5,7,5,35.0,6,10.0,49.0,5
2.0,3.0,4,3,9,7,4,24.0,8,3.0,5.0,4
60.0,0.0,10,10,5,5,5,48.0,3,12.0,15.0,5
77.0,14.0,7,7,6,9,4,15.160714285714286,6,0.0,6.0,9
77.0,12.0,7,7,8,9,3,7.0,6,0.0,6.0,7
35.0,7.0,6,6,7,8,5,21.0,6,0.0,2.0,7
10.0,6.0,1,5,7,9,8,10.0,6,2.0,10.0,8
9.0,7.0,7,7,5,9,7,30.0,7,2.0,3.0,7
16.0,5.0,8,9,7,7,3,16.0,5,5.0,48.0,5
10.0,3.0,6,6,5,4,6,4.0,5,3.0,5.0,7
28.089820359281436,72.0,3,9,5,7,7,12.0,8,24.0,50.0,8
28.089820359281436,8.107142857142858,5,5,8,8,8,15.160714285714286,7,5.568047337278107,12.940119760479043,7
48.0,2.0,7,5,8,5,7,38.0,6,2.0,12.940119760479043,7
24.0,0.0,5,5,5,5,5,30.0,42,14.0,35.0,6
6.0,3.0,5,5,5,5,5,6.0,7,2.0,6.0,6
10.0,10.0,8,7,4,8,7,20.0,8,5.0,10.0,7
14.0,4.0,6,5,5,5,5,5.0,7,3.0,2.0,7
7.0,4.0,5,3,5,8,3,14.0,8,2.0,12.0,3
28.089820359281436,4.0,5,5,5,8,7,15.160714285714286,6,5.568047337278107,4.0,8
7.0,3.0,6,6,4,8,6,4.0,6,1.0,4.0,6
15.0,4.0,2,2,8,6,9,30.0,7,3.0,2.0,8
40.0,10.0,7,8,7,1,6,10.0,6,10.0,15.0,7
